word,count	
lost-innocense,93	
ltd-scl,113	
lvaro-uribe,3	
made-clear,240	
mandate-means,20	
mark-arrested,20	
mark-guilty,155	
mark-zuckerberg,218	
marland-cambridge,303	
massive-evidence,295	
massive-spending,1064	
mate-lord,303	
may-access,663	
may-remain,20	
may-shared,100	
may-stored,109	
may-well,60	
mays-government,180	
means-brexit,20	
meddling-philippine,89	
media-data,180	
mercer-cambridge,583	
mercer-implicated,1189	
might-bring,20	
might-stored,20	
million-cambridge,310	
million-dolla,434	
million-facebook,109	
million-information,65	
million-people,100	
million-users,224	
millions-americans,155	
mismos-creadores,79	
misused-referendum,20	
mln-users,111	
money-robert,1189	
morning-pos,89	
naef-geweest,12	
nearly-half,434	
needs-democratic,20	
news-far,1015	
news-headlines,65	
news-impartially,1015	
news-staff,1015	
next-election,20	
next-piece,20	
nick-robinson,128	
niet-open,12	
nigerian-election,20	
nix-probed,89	
number-super,213	
ocean-clarifying,320	
odebrecht-cambridge,79	
office-information,241	
office-scl,241	
open-zetten,12	
opportunity-ask,1064	
opportunity-connect,180	
ops-turn,295	
osm-awards,291	
outcome-brexit,60	
overheid-veel,12	
owner-mark,20	
par-scandale,10	
para-equipo,3	
parliament-documents,90	
parliament-lead,92	
patriots-invited,20	
people-may,100	
people-sale,180	
pervasive-invisibl,320	
philippine-election,89	
photo-boris,303	
piece-cambridge,200	
planned-cambridge,14	
plans-facebook,20	
please-remember,120	
please-stand,20	
plot-thickens,98	
plus-franais,10	
potentiellement-touchs,10	
power-social,180	
ppl-looking,20	
presented-parliament,90	
presidential-tainted,310	
principals-bragging,589	
privacy-illegally,155	
private-intelligence,103	
probed-meddling,89	
profiles-exceed,73	
promise-america,213	
promised-extend,198	
promotion-ukip,20	
providing-cover,583	
que-destap,20	
que-vos,69	
question-quickly,98	
question-rachel,14	
questions-congressional,1052	
quite-clearly,102	
quite-ironic,65	
quoted-face,20	
rachel-asking,14	
ramon-speaks,180	
read-sandber,180	
read-simply,20	
reasonable-mandate,20	
received-funds,107	
received-reply,111	
recent-sting,103	
referendum-based,20	
referendum-vote,20	
reflect-use,180	
regrettable-may,20	
remain-learn,20	
remember-tha,120	
rendn-hacker,79	
reply-sheryl,111	
reporting-news,1015	
republican-desperately,434	
republican-worked,1189	
republicans-worked,20	
research-director,771	
result-please,120	
retweeted-chris,200	
revelations-whatsapp,60	
richting-silicon,12	
robert-mercer,1879	
robinson-cambridge,128	
royce-spent,20	
ruin-election,5	
russia-cambri,20	
russia-cnn,116	
russia-ruin,5	
russian-ops,295	
sale-sandberg,180	
salisbury-poisoning,65	
sandberg-coo,111	
says-data,2191	
says-facebook,20	
says-hunt,103	
says-million,65	
scandal-gone,20	
scandal-implodes,167	
scandal-knocked,65	
scandale-cambridge,10	
scanning-plans,20	
scl-group,354	
screened-tonight,114	
seat-tainted,434	
security-clearance,14	
see-cambridge,120	
see-debate,20	
selling-opportunity,180	
senador-lvaro,3	
senate-seat,434	
servers-confirm,663	
sets-https,20	
sets-standards,589	
shady-data,20	
shared-cambridge,100	
shareholder-former,303	
sheryl-sandberg,111	
shows-abyss,589	
silicon-val,12	
simply-sets,20	
sin-millions,155	
skandalnda-geen,180	
sluizen-niet,12	
sobre-caso,69	
social-media,180	
soldier-spy,114	
south-china,89	
speaks-democratic,180	
special-counsel,20	
spending-cambridge,1064	
spent-million,310	
spent-nearly,434	
spy-screened,114	
staff-channel,1015	
stand-next,20	
standards-idiotism,589	
states-case,673	
steal-data,291	
steve-bannon,102	
still-made,20	
sting-ope,103	
stored-russia,307	
stories-forced,180	
story-andrew,128	
story-historic,119	
stuff-read,20	
stunned-cambridge,60	
stupidity-whol,589	
super-led,213	
supported-colorado,283	
survive-lost,93	
suspected-behind,103	
suspended-data,180	
suspended-facebook,223	
suspends-aggregate,20	
suspends-aggregateiq,167	
swept-carpet,20	
tactic-cambridge,291	
tailor-soldier,114	
tainted-cruz,310	
tainted-hundreds,283	
tainted-royce,20	
tainted-spent,434	
targetting-cambridge,20	
tax-evasion,20	
tells-chuck,771	
testified-outcome,60	
theresa-mays,180	
think-besides,20	
thousands-americans,6	
thread-interesting,1052	
tinker-tailor,114	
today-write,92	
todays-piece,180	
tonight-assume,114	
took-money,1189	
touchs-par,10	
trabajando-para,3	
true-attack,14	
trump-russian,295	
